company_name/id,profession,job
__export__.res_company_3,WELDER,WELDER
__export__.res_company_3,AUTO MECHANIC,AUTO MECHANIC
__export__.res_company_3,LOADING LABOR,LOADING LABOR
__export__.res_company_3,COST ACCOUNTANT,COST ACCOUNTANT
__export__.res_company_3,SALES REPRESENTATIVE,SALES REPRESENTATIVE
__export__.res_company_3,CLEANING LABOR,CLEANING LABOR
__export__.res_company_3,ACCOUNTANS TECHNICIAN,ACCOUNTANS TECHNICIAN
__export__.res_company_3,BUILDING ELECTRUCIAN,BUILDING ELECTRUCIAN
__export__.res_company_3,NETWORKING TECH.,NETWORKING TECH.
__export__.res_company_3,TRUCK DRIVER,TRUCK DRIVER
__export__.res_company_3,G. AUTO ELECTRICIAN,G. AUTO ELECTRICIAN
__export__.res_company_3,G. ACCOUNTANT,G. ACCOUNTANT
__export__.res_company_3,LOADING UNLOADING LABOR ,LOADING UNLOADING LABOR 
__export__.res_company_3,G. ACCOUNTING TECHNICIAN,G. ACCOUNTING TECHNICIAN
__export__.res_company_3,ECONOMIST,ECONOMIST
__export__.res_company_3,LABOR,LABOR
__export__.res_company_3,FORKLIFT OPERATOR,FORKLIFT OPERATOR
__export__.res_company_3,COMP. TECHNICIAN,COMP. TECHNICIAN
__export__.res_company_3,CLEANING LABOR,CLEANING LABOR
__export__.res_company_3,SALES REPRESENTATIVE,SALES REPRESENTATIVE
__export__.res_company_3,GEN. ACCOUNTANT,GEN. ACCOUNTANT
__export__.res_company_3,SALES DIRECTOR,SALES DIRECTOR
__export__.res_company_3,TRANSLATOR,TRANSLATOR
__export__.res_company_3,COMP. TECHNICIAN,COMP. TECHNICIAN
__export__.res_company_3,MANAGING DIRECTOR,MANAGING DIRECTOR
__export__.res_company_3,DRIVER,DRIVER
__export__.res_company_3,MARKATING SPECIALIST,MARKATING SPECIALIST
__export__.res_company_3,COMP. PROGRAMMER,COMP. PROGRAMMER
__export__.res_company_3,ACCOUNTANT,ACCOUNTANT
